prefecture,flavor,link,img_link
 HOKKAIDO,とうきびとミルクのクリーミーな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/hokkaido/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_01.png
 AOMORI,ストロベリーにりんごとミルクのやさしい味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/aomori/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_02.png
 IWATE,抹茶とゴマのめんこい味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/iwate/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_03.png
 MIYAGI,ずんだ餡と抹茶の組み合わせが楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/miyagi/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_04.png
 AKITA,甘みと塩味の組み合わせが楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/akita/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_05.png
 YAMAGATA,口いっぱいに広がるラ・フランスのまろやかな甘味,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/yamagata/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_06.png
 FUKUSHIMA,トロピカルなフルーツの味わいにピーチ果肉の食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/fukushima/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_07.png
 IBARAKI,メロンとミルクのクリーミーな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/ibaraki/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_08.png
 TOCHIGI,口の中ではじけるキャンディが楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/tochigi/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_09.png
 GUNMA,ヨーグルトの爽やかさとマンゴーのトロピカルな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/gunma/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_10.png
 SAITAMA,ストロベリーとシトラスの色鮮やかな組み合わせ,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/saitama/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_11.png
 CHIBA,みたらしの甘さとコーヒーの香ばしさが楽しめる味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/chiba/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_12.png
 TOKYO,キャラメルとコーヒーのベストな組み合わせ,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/tokyo/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_13.png
 KANAGAWA,シトラスの爽やかさとミルクの優しい味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/kanagawa/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_14.png
 NIIGATA,チョコレートの味わいと柿の種の食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/niigata/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_15.png
 TOYAMA,スイカジュースとパッションティーの華やかな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/toyama/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_16.png
 ISHIKAWA,棒ほうじ茶のやわらかな香ばしさと豊かな香り,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/ishikawa/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_17.png
 FUKUI,抹茶風味にサクサクとした米ポンの食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/fukui/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_18.png
 YAMANASHI,みずみずしいぶどうの甘みが存分に楽しめる,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/yamanashi/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_19.png
 NAGANO,キャラメルとりんごのデザートのような味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/nagano/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_20.png
 GIFU,コーヒージェリーに抹茶とチョコレートを組み合わせた味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/gifu/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_21.png
 SHIZUOKA,みかんとシトラスが合わさった爽やかな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/shizuoka/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_22.png
 AICHI,あんことホイップクリームにほんのりコーヒーの味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/aichi/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_23.png
 MIE,伊勢茶、シトラス、ホイップクリームの3重の味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/mie/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_24.png
 SHIGA,ホワイトチョコレート風味のミルキーな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/shiga/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_25.png
 KYOTO,抹茶ときなこの引き立てあう味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/kyoto/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_26.png
 OSAKA,たくさんのフルーツが入ったミックスジュースのような味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/osaka/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_27.png
 HYOGO,チョコレートの魅力が存分に楽しめる一杯,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/hyogo/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_28.png
 NARA,ほうじ茶の香ばしさとミルク感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/nara/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_29.png
 WAKAYAMA,みかんの爽やかな味わいとシトラスの食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/wakayama/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_30.png
 TOTTORI,コーヒーとキャラメルのクリーミーな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/tottori/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_31.png
 SHIMANE,コーヒーと抹茶のクリーミーな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/shimane/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_32.png
 OKAYAMA,ピーチやシトラス果肉のフルーティーな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/okayama/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_33.png
 HIROSHIMA,レモンの爽やかさとパッションティーの華やかな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/hiroshima/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_34.png
 YAMAGUCHI,ごまと抹茶の重なり合う風味豊かな奥深い味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/yamaguchi/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_35.png
 TOKUSHIMA,すだちの爽やかな香りにシトラスの食感がアクセント,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/tokushima/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_36.png
 KAGAWA,和三盆とミルクのやさしい味わいに抹茶をブレンド,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/kagawa/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_37.png
 EHIME,バニラの風味とキウイジャムのフルーティーな味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/ehime/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_38.png
 KOCHI,バニラ風味にジンジャーシトラスの甘酸っぱい味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/kochi/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_39.png
 FUKUOKA,香り立つ八女茶のすっきりとした味わい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/fukuoka/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_40.png
 SAGA,チョコレートにブラウンシュガーのカリカリ食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/saga/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_41.png
 NAGASAKI,コーヒー風味のカステラとミルクのコンビネーション,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/nagasaki/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_42.png
 KUMAMOTO,チョコレートの味わいにビスケットの食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/kumamoto/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_43.png
 OITA,かぼすのさわやかな香りとシトラスの食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/oita/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_44.png
 MIYAZAKI,日向夏の爽快な酸味とマンゴーの甘さが楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/miyazaki/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_45.png
 KAGOSHIMA,黒蜜の甘さとチョコレートチップの食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/kagoshima/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_46.png
 OKINAWA,塩味のあるちんすこうの食感が楽しい,https://www.starbucks.co.jp/cafe/jimoto_frappuccino/okinawa/,https://www.starbucks.co.jp/static/cafe/jimoto_frappuccino/images/list/img_frap_47.png
